// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
23891	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.268464	-0.207838	10.327144	0.000000	0.000000	0.000000	-0.006104	0.001717	0.002289	0.163330	0.023926	-0.677490	0.002686	-0.002075	0.103271	0.999999	-0.000031	0.000009	0.000011	100256.0000	0.998043	-0.056883	0.025991	0.057412	0.998149	-0.020084	-0.024800	0.021537	0.999460	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23892	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.268331	-0.190097	10.284325	0.001975	0.017136	0.476880	-0.004196	0.000572	0.003624	0.160645	0.024170	-0.674316	0.002684	-0.001899	0.102843	1.000000	-0.000021	0.000003	0.000018	100268.0000	0.998045	-0.056847	0.025984	0.057377	0.998150	-0.020127	-0.024792	0.021578	0.999460	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23893	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.275080	-0.213983	10.369854	0.003972	-0.004311	0.563020	-0.006866	-0.008202	0.003052	0.160645	0.021729	-0.677002	0.002747	-0.002136	0.103699	0.999999	-0.000034	-0.000041	0.000015	100268.0000	0.998044	-0.056814	0.026066	0.057347	0.998150	-0.020196	-0.024870	0.021651	0.999456	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23894	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.257236	-0.226960	10.327042	-0.013429	-0.016439	0.520029	-0.007057	-0.002480	0.002289	0.160645	0.026367	-0.677490	0.002571	-0.002266	0.103271	1.000000	-0.000035	-0.000012	0.000011	100280.0000	0.998045	-0.056791	0.026090	0.057327	0.998150	-0.020267	-0.024891	0.021723	0.999454	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23895	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.268582	-0.226188	10.345450	-0.002435	-0.015209	0.538709	-0.006866	-0.000572	0.002289	0.155273	0.028809	-0.679932	0.002686	-0.002258	0.103455	0.999999	-0.000034	-0.000003	0.000011	100280.0000	0.998046	-0.056769	0.026095	0.057306	0.998149	-0.020336	-0.024892	0.021792	0.999453	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23896	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.280764	-0.226858	10.314840	0.010492	-0.016801	0.508448	-0.004959	-0.000191	0.006676	0.163086	0.026367	-0.671875	0.002808	-0.002266	0.103148	1.000000	-0.000025	-0.000001	0.000033	100270.0000	0.998050	-0.056702	0.026096	0.057241	0.998152	-0.020388	-0.024891	0.021842	0.999452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23897	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.268477	-0.232041	10.351562	-0.002743	-0.020431	0.544935	-0.002098	0.001526	-0.000763	0.157715	0.028809	-0.677490	0.002686	-0.002319	0.103516	1.000000	-0.000010	0.000008	-0.000004	100270.0000	0.998050	-0.056710	0.026081	0.057249	0.998151	-0.020408	-0.024875	0.021862	0.999451	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23898	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.280693	-0.195736	10.339350	0.011407	0.015177	0.532306	-0.002480	-0.002480	0.006676	0.155273	0.026611	-0.671387	0.002806	-0.001956	0.103394	1.000000	-0.000012	-0.000012	0.000033	100256.0000	0.998053	-0.056643	0.026104	0.057183	0.998155	-0.020435	-0.024898	0.021888	0.999450	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23899	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.262800	-0.220114	10.302717	-0.007799	-0.007869	0.495725	-0.007629	-0.006676	-0.004578	0.163330	0.026367	-0.680420	0.002625	-0.002197	0.103027	0.999999	-0.000038	-0.000033	-0.000023	100256.0000	0.998049	-0.056687	0.026172	0.057231	0.998150	-0.020510	-0.024961	0.021968	0.999447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23900	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.269434	-0.190142	10.302632	0.000244	0.021523	0.495199	-0.001335	-0.004196	0.004387	0.160645	0.026367	-0.680176	0.002692	-0.001901	0.103026	0.999999	-0.000007	-0.000021	0.000022	100246.0000	0.998050	-0.056642	0.026213	0.057187	0.998152	-0.020525	-0.025002	0.021984	0.999446	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
