// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
22311	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.256693	-0.207558	10.308829	0.000000	0.000000	0.000000	-0.000763	-0.006676	-0.000763	0.160400	0.031006	-0.680176	0.002563	-0.002075	0.103088	0.999999	-0.000004	-0.000033	-0.000004	100268.0000	0.994959	-0.097158	0.024854	0.097666	0.995016	-0.020120	-0.022775	0.022446	0.999489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22312	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.239105	-0.189819	10.302620	-0.016330	0.020802	0.494421	-0.009918	-0.007820	0.002861	0.162842	0.031006	-0.674805	0.002387	-0.001893	0.103026	1.000000	-0.000050	-0.000039	0.000014	100264.0000	0.994960	-0.097127	0.024932	0.097640	0.995016	-0.020220	-0.022844	0.022552	0.999485	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22313	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.286783	-0.213460	10.333258	0.028645	-0.007724	0.526710	0.003242	0.001526	0.003052	0.157715	0.031006	-0.677246	0.002869	-0.002136	0.103333	1.000000	0.000016	0.000008	0.000015	100264.0000	0.994963	-0.097098	0.024916	0.097609	0.995020	-0.020188	-0.022831	0.022518	0.999486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22314	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.286785	-0.189205	10.314933	0.031120	0.017042	0.507905	-0.005531	-0.002098	-0.002289	0.162842	0.028564	-0.671631	0.002867	-0.001889	0.103149	1.000000	-0.000028	-0.000010	-0.000011	100268.0000	0.994960	-0.097119	0.024937	0.097632	0.995017	-0.020243	-0.022847	0.022576	0.999484	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22315	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.257199	-0.201856	10.327119	-0.002163	0.008875	0.519602	-0.008392	-0.016594	0.005341	0.162842	0.031006	-0.671875	0.002563	-0.002014	0.103271	0.999999	-0.000042	-0.000083	0.000027	100268.0000	0.994962	-0.097062	0.025102	0.097581	0.995020	-0.020328	-0.023004	0.022675	0.999478	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22316	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.270492	-0.202459	10.308732	0.011314	0.006407	0.501572	-0.001526	-0.006294	0.008202	0.157715	0.026367	-0.674072	0.002702	-0.002024	0.103087	1.000000	-0.000008	-0.000031	0.000041	100258.0000	0.994968	-0.096979	0.025163	0.097499	0.995028	-0.020345	-0.023065	0.022696	0.999476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22317	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.275117	-0.195956	10.388159	0.013841	0.016168	0.580940	-0.012207	-0.008965	0.006866	0.160400	0.026367	-0.674072	0.002747	-0.001953	0.103882	0.999999	-0.000061	-0.000045	0.000034	100258.0000	0.994973	-0.096909	0.025251	0.097434	0.995031	-0.020469	-0.023142	0.022827	0.999472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22318	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.263515	-0.203117	10.327041	0.002901	0.009240	0.519707	-0.007057	-0.004005	0.001335	0.152588	0.021729	-0.667725	0.002633	-0.002028	0.103271	1.000000	-0.000035	-0.000020	0.000007	100274.0000	0.994973	-0.096894	0.025291	0.097422	0.995031	-0.020540	-0.023175	0.022901	0.999469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22319	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.293051	-0.207663	10.363764	0.030960	0.002764	0.557252	-0.002861	-0.001526	-0.003052	0.155029	0.031250	-0.671387	0.002930	-0.002075	0.103638	1.000000	-0.000014	-0.000008	-0.000015	100274.0000	0.994970	-0.096924	0.025307	0.097453	0.995028	-0.020568	-0.023188	0.022931	0.999468	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22320	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.268814	-0.208261	10.351456	0.006755	0.005209	0.544349	-0.006866	-0.003242	0.003624	0.160156	0.033447	-0.674561	0.002687	-0.002079	0.103515	1.000000	-0.000034	-0.000016	0.000018	100262.0000	0.994973	-0.096888	0.025339	0.097419	0.995029	-0.020637	-0.023213	0.023002	0.999466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
